selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
greedy,0.345,0.52000,0.41000,0.47000,0.44000,0.56000,0.40000,0.44000,0.35000,0.36000,0.49500,0.44000,0.50500
random,0.345,0.35500,0.33000,0.40500,0.41500,0.35500,0.36000,0.42000,0.42000,0.29000,0.45500,0.35000,0.37500
betweenness_global,0.345,0.57500,0.42500,0.61500,0.44500,0.49500,0.48500,0.57500,0.58500,0.40000,0.37500,0.55000,0.57000
betweenness_subset,0.345,0.37500,0.47000,0.46500,0.41000,0.45500,0.44500,0.48500,0.63500,0.56000,0.53000,0.51000,0.45000
closeness_global,0.345,0.49000,0.55500,0.47500,0.44500,0.43500,0.39000,0.29500,0.39000,0.40000,0.59500,0.45000,0.50500
closeness_subset,0.345,0.53500,0.46500,0.58500,0.59000,0.57000,0.40500,0.66500,0.50000,0.42000,0.40500,0.48000,0.51500
in_degree,0.345,0.57000,0.67000,0.38500,0.57000,0.41500,0.53500,0.59500,0.56000,0.46000,0.36500,0.41500,0.41000
out_degree,0.345,0.40000,0.57000,0.59000,0.41000,0.56000,0.46500,0.55500,0.43000,0.44500,0.57500,0.54500,0.41500
both_degree,0.345,0.43500,0.47500,0.60000,0.57500,0.56000,0.46500,0.59500,0.46500,0.45000,0.47000,0.45000,0.51000
