selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
greedy,19.585,21.11500,19.82500,21.12500,21.16500,19.83500,20.47500,20.45000,19.64500,20.28000,19.71500,20.50000,20.72000
random,19.585,20.43500,20.32000,19.42500,19.73000,20.74500,21.36500,20.42000,20.12500,20.13500,19.39000,19.85500,19.28500
betweenness_global,19.585,19.95000,20.89500,20.62500,21.33000,21.17000,21.75000,21.46500,20.41000,20.24500,20.89000,21.09000,22.00000
betweenness_subset,19.585,20.19500,19.41500,21.34000,21.09000,19.88500,22.08000,20.92500,21.46500,21.21500,21.16500,21.32000,21.24000
closeness_global,19.585,20.45000,20.53500,20.37000,20.23000,20.55500,20.92000,20.97000,21.21500,21.33500,20.73500,21.56000,20.62500
closeness_subset,19.585,20.48500,19.91000,20.67500,20.78000,20.67500,21.20500,20.80000,21.00500,21.77000,21.20500,21.08500,20.82500
in_degree,19.585,21.59000,21.25500,21.00500,20.49000,21.23500,20.77500,21.00000,21.43500,19.68500,21.17500,20.62500,20.46000
out_degree,19.585,21.04500,20.73000,21.21500,21.77000,19.96000,20.74000,20.56500,20.61000,20.77500,21.10000,21.09500,21.87500
both_degree,19.585,20.83000,20.81500,20.77500,21.04000,21.17500,20.73000,21.52500,20.87500,21.46500,21.22000,21.68500,20.13000
