selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
greedy,0.14,0.12000,0.15000,0.14000,0.12500,0.21500,0.12000,0.13500,0.12000,0.18000,0.18000,0.29000,0.18500
random,0.14,0.19500,0.08000,0.12000,0.14500,0.17500,0.14000,0.13000,0.10500,0.16500,0.18500,0.15500,0.14500
betweenness_global,0.14,0.15000,0.09000,0.14000,0.15500,0.16500,0.12500,0.12500,0.17000,0.11000,0.19500,0.17000,0.17500
betweenness_subset,0.14,0.14500,0.13000,0.14000,0.11500,0.13500,0.18000,0.14000,0.17000,0.18500,0.19500,0.18000,0.17500
closeness_global,0.14,0.16000,0.13500,0.18000,0.16500,0.13500,0.17000,0.15500,0.13000,0.13000,0.20500,0.20500,0.13500
closeness_subset,0.14,0.12500,0.11000,0.18500,0.09000,0.11000,0.09000,0.13500,0.11000,0.15000,0.12500,0.19500,0.15000
in_degree,0.14,0.13500,0.11000,0.09500,0.15500,0.13500,0.13000,0.16000,0.18000,0.20000,0.13500,0.15000,0.15500
out_degree,0.14,0.11000,0.15500,0.24500,0.18000,0.22500,0.26500,0.21500,0.19000,0.23500,0.30000,0.16500,0.13000
both_degree,0.14,0.13000,0.16500,0.15000,0.19000,0.18000,0.16000,0.17500,0.18000,0.22000,0.23500,0.16500,0.24500
