selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
RANDOM,0.1,0.2,0.05,0.15,0.15,0,0.1,0.1,0.25,0,0.15,0.5,0.2
SHORTEST,0.1,0,0.15,0.25,0.05,0.2,0.15,0.15,0.35,0.15,0.35,0.45,0.5
AVG_BETWEENNESS,0.1,0.05,0.3,0.2,0.2,0.2,0.3,0.35,0.15,0.2,0.45,0.4,0.55
AVG_CLOSNESS,0.1,0.2,0.15,0.15,0.15,0.45,0.15,0.3,0.3,0.2,0.3,0.15,0.35
GREEDY,0.1,0,0.05,0.05,0.25,0.15,0.2,0.2,0.25,0.6,0.45,0.6,0.6
