selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
random,21.415,21.576,22.002,21.44,20.9,21.415,20.545,21.6,22.305,22.62,21.845,21.89,19.485
greedy,21.415,21.45,21.725,23.415,21.93,23.235,21.42,20.285,20.965,23.015,22.465,21.43,22.51
betweeness,21.415,21.547,22.205,21.13,20.99,21.42,21.565,21.305,22.11,21.23,21.54,21.625,21.435
closeness,21.415,21.25,20.655,21.255,21.215,22.14,22.2,19.905,22.26,20.865,22.31,22.565,21.405
degree,21.415,20.563,20.74,22.015,21.22,21.925,22.665,22.5,21.55,19.815,21.35,20.835,22.05
