selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
rand,0.065,0.08000,0.09000,0.12000,0.12500,0.16500,0.23000,0.18500,0.24500,0.30500,0.30000,0.28500,0.26000
greedy,0.065,0.06000,0.11000,0.11000,0.14000,0.15500,0.17000,0.16500,0.24000,0.26000,0.31500,0.29000,0.33000
betweeness,0.065,0.06500,0.12000,0.17000,0.18000,0.14000,0.17500,0.22500,0.22500,0.35500,0.25000,0.26000,0.31500
closeness,0.065,0.13500,0.10500,0.12000,0.15000,0.13500,0.18000,0.20500,0.23000,0.22000,0.27000,0.36500,0.32000
degree,0.065,0.06000,0.07000,0.12500,0.12500,0.17000,0.24500,0.22000,0.25500,0.33000,0.25000,0.36000,0.38000
