selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
rand,0.225,0.24000,0.23000,0.23500,0.27500,0.46000,0.40500,0.40000,0.44500,0.50500,0.45000,0.45500,0.39500
greedy,0.225,0.20000,0.24000,0.32000,0.30500,0.28000,0.48000,0.33000,0.37500,0.54500,0.55000,0.46000,0.52000
betweeness,0.225,0.22000,0.25000,0.29500,0.34000,0.30500,0.34500,0.48000,0.31500,0.44000,0.46000,0.44500,0.49000
closeness,0.225,0.16500,0.28000,0.27000,0.28000,0.38000,0.46000,0.43000,0.35000,0.47500,0.52500,0.45000,0.41500
degree,0.225,0.26500,0.30500,0.35000,0.35500,0.37500,0.35500,0.41000,0.43000,0.55500,0.46500,0.49000,0.50000
