selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
rand,17.93,18.63000,17.32000,19.03000,18.60000,18.19500,19.37500,18.67500,18.23500,17.67500,18.18000,19.33500,19.16500
greedy,17.93,17.31500,17.58500,18.25500,18.41000,18.86500,18.46000,18.58000,17.74500,18.58500,18.93000,18.09500,18.40000
betweeness,17.93,19.22500,17.64000,17.88000,18.11500,18.25500,18.76500,19.31000,18.25000,19.10000,17.65500,18.65500,18.89000
closeness,17.93,17.10500,17.20500,17.98500,17.71500,16.80000,18.29500,18.31500,17.36000,17.59500,17.70500,18.23000,17.83500
degree,17.93,18.49500,18.86500,18.27500,18.08000,17.85000,18.69500,19.50500,18.55500,18.28000,17.64500,18.70000,18.39000
