selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
rand,0.12,0.16000,0.17500,0.13500,0.17500,0.24000,0.29500,0.37500,0.34000,0.32000,0.44500,0.45000,0.46000
greedy,0.12,0.09500,0.16000,0.22000,0.22500,0.28500,0.28000,0.37000,0.32500,0.45000,0.37000,0.40500,0.42000
betweeness,0.12,0.16000,0.17000,0.25000,0.21500,0.21500,0.28000,0.34000,0.39500,0.31000,0.37500,0.36500,0.45500
closeness,0.12,0.13000,0.16000,0.20000,0.25000,0.25500,0.24000,0.35500,0.31000,0.35000,0.39000,0.43500,0.47500
degree,0.12,0.19500,0.20000,0.20500,0.19500,0.30500,0.27000,0.26500,0.28500,0.35500,0.38000,0.38000,0.50500
