selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
get_in_degree_maps1,6.325,5.50000,5.81500,5.43000,6.45000,6.36000,5.28500,6.36000,6.28000,7.86500,6.71500,7.91000,7.62000
get_in_degree_maps2,6.325,6.31000,4.75000,6.31000,6.03500,7.31000,7.11500,6.63500,6.57000,7.81000,7.68500,7.49500,7.45500
get_in_degree_maps3,6.325,6.23500,5.69000,5.71500,7.00500,6.33500,7.98500,6.89000,6.49000,6.60500,8.28500,8.03500,7.33500
