selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
random,20.34,18.43,18.74,20.015,19.22,19.925,20.665,19.295,19.55,19.815,19.35,19.835,20.05
greedy,20.34,19.61,19.725,19.93,19.42,19.43,20.285,20.295,18.965,21.015,20.465,20.51,21.415
betweeness,20.34,19.98,18.655,19.255,19.215,20.14,20.2,19.905,20.26,18.865,20.31,20.565,19.405
closeness,20.34,19.47,20.205,19.13,18.99,20.5,19.485,19.305,19.23,20.11,19.54,19.625,19.435
degree,20.34,19.59,20.005,19.44,18.9,19.415,18.545,19.6,20.305,20.62,19.845,19.89,19.565
