selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
random,0.235,0.46,0.32,0.355,0.415,0.425,0.5,0.425,0.45,0.54,0.465,0.4,0.375
greedy,0.235,0.36,0.495,0.56,0.475,0.36,0.405,0.395,0.455,0.6,0.46,0.42,0.535
betweeness,0.235,0.44,0.435,0.39,0.435,0.425,0.555,0.47,0.51,0.455,0.525,0.535,0.59
closeness,0.235,0.42,0.43,0.47,0.39,0.465,0.525,0.495,0.46,0.555,0.515,0.565,0.405
degree,0.235,0.345,0.285,0.355,0.44,0.335,0.525,0.49,0.455,0.48,0.48,0.645,0.57
