selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
greedy,0.14,0.12,0.15,0.14,0.125,0.215,0.12,0.135,0.12,0.18,0.18,0.29,0.185
random,0.14,0.195,0.08,0.12,0.145,0.175,0.14,0.13,0.105,0.165,0.185,0.155,0.145
betweenness_global,0.14,0.15,0.09,0.14,0.155,0.165,0.125,0.125,0.17,0.11,0.195,0.17,0.175
betweenness_subset,0.14,0.145,0.13,0.14,0.115,0.135,0.18,0.14,0.17,0.185,0.195,0.18,0.175
closeness_global,0.14,0.16,0.135,0.18,0.165,0.135,0.17,0.155,0.13,0.13,0.205,0.205,0.135
closeness_subset,0.14,0.125,0.11,0.185,0.09,0.11,0.09,0.135,0.11,0.15,0.125,0.195,0.15
in_degree,0.14,0.135,0.11,0.095,0.155,0.135,0.13,0.16,0.18,0.2,0.135,0.15,0.155
out_degree,0.14,0.11,0.155,0.245,0.18,0.225,0.265,0.215,0.19,0.235,0.3,0.165,0.13
both_degree,0.14,0.13,0.165,0.15,0.19,0.18,0.16,0.175,0.18,0.22,0.235,0.165,0.245
