selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
rand,0.3,0.3,0.24,0.215,0.3,0.31,0.38,0.355,0.26,0.295,0.275,0.24,0.34
greedy,0.3,0.275,0.355,0.375,0.325,0.395,0.3,0.3,0.3,0.345,0.37,0.365,0.335
shortest,0.3,0.3,0.275,0.245,0.285,0.265,0.215,0.3,0.395,0.345,0.385,0.3,0.35
betweeness,0.3,0.365,0.32,0.34,0.385,0.315,0.385,0.325,0.275,0.29,0.375,0.4,0.365
closeness,0.3,0.3,0.365,0.3,0.285,0.265,0.3,0.3,0.345,0.31,0.5,0.295,0.315
