selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
rand,0.125,0.16000,0.13000,0.16500,0.20500,0.17000,0.21500,0.13500,0.13000,0.12500,0.14500,0.15500,0.16500
greedy,0.125,0.22000,0.17000,0.18500,0.17000,0.15500,0.16000,0.15500,0.16500,0.14500,0.21500,0.21500,0.21500
betweeness,0.125,0.13500,0.18000,0.15000,0.20000,0.14000,0.17000,0.19000,0.08500,0.12500,0.16000,0.17000,0.17500
closeness,0.125,0.18000,0.08500,0.18000,0.16000,0.11500,0.13500,0.17000,0.18000,0.12500,0.18000,0.16500,0.16500
degree,0.125,0.14000,0.19500,0.20500,0.09000,0.19000,0.15000,0.13500,0.18500,0.17000,0.20000,0.14000,0.18000
