selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
rand,0.014,0.01200,0.01400,0.01800,0.01600,0.02400,0.01400,0.02800,0.01400,0.02800,0.02200,0.01600,0.02800
greedy,0.014,0.03800,0.08800,0.07800,0.11400,0.17200,0.12600,0.14400,0.15400,0.16000,0.17200,0.15000,0.18200
betweeness,0.014,0.00800,0.01600,0.02200,0.01000,0.03000,0.02000,0.03800,0.05400,0.06000,0.07600,0.09200,0.10200
closeness,0.014,0.01600,0.00800,0.01600,0.00800,0.01200,0.01400,0.01000,0.01800,0.00200,0.01600,0.01800,0.02800
degree,0.014,0.01000,0.01600,0.04800,0.05400,0.06200,0.05400,0.05600,0.07400,0.07400,0.07800,0.07200,0.05600
