selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
rand,0.09,0.04000,0.10000,0.08000,0.10000,0.11000,0.10000,0.13000,0.13000,0.10000,0.08000,0.09000,0.11000
greedy,0.09,0.09000,0.07000,0.18000,0.08000,0.13000,0.08000,0.11000,0.10000,0.19000,0.13000,0.11000,0.13000
betweeness,0.09,0.13000,0.14000,0.11000,0.08000,0.05000,0.11000,0.10000,0.14000,0.06000,0.12000,0.05000,0.09000
closeness,0.09,0.12000,0.18000,0.14000,0.03000,0.06000,0.11000,0.13000,0.11000,0.06000,0.12000,0.10000,0.11000
degree,0.09,0.09000,0.13000,0.17000,0.06000,0.08000,0.07000,0.10000,0.05000,0.18000,0.08000,0.10000,0.19000
