selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
rand,0.05,0.10000,0.10000,0.05000,0.10000,0.00000,0.10000,0.00000,0.20000,0.05000,0.10000,0.10000,0.00000
greedy,0.05,0.10000,0.20000,0.10000,0.05000,0.15000,0.15000,0.10000,0.15000,0.10000,0.15000,0.15000,0.05000
betweeness,0.05,0.05000,0.05000,0.10000,0.05000,0.10000,0.10000,0.20000,0.15000,0.05000,0.00000,0.00000,0.15000
closeness,0.05,0.10000,0.05000,0.15000,0.10000,0.15000,0.20000,0.00000,0.10000,0.10000,0.10000,0.00000,0.05000
degree,0.05,0.00000,0.20000,0.25000,0.00000,0.10000,0.10000,0.10000,0.05000,0.25000,0.00000,0.15000,0.05000
