selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
rand,0.16,0.16,0.2,0.155,0.115,0.14,0.145,0.195,0.21,0.16,0.16,0.21,0.175
greedy,0.16,0.21,0.25,0.305,0.325,0.315,0.38,0.25,0.44,0.36,0.455,0.36,0.395
shortest,0.16,0.155,0.2,0.15,0.175,0.15,0.135,0.17,0.14,0.2,0.2,0.2,0.22
betweeness,0.16,0.205,0.23,0.175,0.305,0.21,0.22,0.175,0.215,0.165,0.15,0.195,0.195
closeness,0.16,0.2,0.145,0.195,0.17,0.16,0.2,0.16,0.25,0.225,0.245,0.245,0.195
