selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
random,0.295,0.38,0.21,0.38,0.395,0.355,0.32,0.28,0.38,0.235,0.385,0.275,0.305
greedy,0.295,0.37,0.39,0.355,0.285,0.4,0.335,0.405,0.4,0.555,0.57,0.385,0.545
betweeness,0.295,0.315,0.305,0.31,0.465,0.425,0.365,0.35,0.38,0.375,0.31,0.46,0.41
closeness,0.295,0.37,0.28,0.31,0.34,0.335,0.315,0.415,0.29,0.255,0.36,0.32,0.445
degree,0.295,0.285,0.335,0.335,0.29,0.305,0.31,0.23,0.31,0.35,0.36,0.325,0.315
