selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
random,0.105,0.08,0.06,0.115,0.095,0.075,0.075,0.085,0.06,0.08,0.11,0.08,0.09
greedy,0.105,0.07,0.16,0.125,0.16,0.185,0.215,0.205,0.26,0.28,0.28,0.265,0.29
betweeness,0.105,0.04,0.105,0.095,0.045,0.06,0.07,0.1,0.05,0.07,0.095,0.085,0.08
closeness,0.105,0.045,0.03,0.08,0.07,0.07,0.095,0.085,0.09,0.09,0.085,0.085,0.08
degree,0.105,0.1,0.065,0.12,0.085,0.07,0.065,0.09,0.11,0.115,0.105,0.095,0.12
